Rocaa Whistle Stats_NoDup
,Id,UID,UTC,UTCMilliseconds,PCLocalTime,PCTime,ChannelBitmap,SequenceBitmap,UpdateOf,Source,encounterCount,sightingNum,classifiedAs,classifierUsed,classifier2Used,voteList,spList,freqMax,freqMin,duration,freqBeg,freqEnd,freqRange,dcMean,dcStdDev,freqMean,freqStdDev,freqMedian,freqCenter,freqRelBW,freqMaxMinRatio,freqBegEndRatio,freqQuarter1,freqQuarter2,freqQuarter3,freqSpread,dcQuarter1Mean,dcQuarter2Mean,dcQuarter3Mean,dcQuarter4Mean,freqCOFM,freqStepUp,freqStepDown,freqNumSteps,freqSlopeMean,freqAbsSlopeMean,freqPosSlopeMean,freqNegSlopeMean,freqSlopeRatio,freqBegSweep,freqBegUp,freqBegDwn,freqEndSweep,freqEndUp,freqEndDwn,numSweepsUpDwn,numSweepsDwnUp,numSweepsUpFlat,numSweepsDwnFlat,numSweepsFlatUp,numSweepsFlatDwn,freqSweepUpPercent,freqSweepDwnPercent,freqSweepFlatPercent,numInflections,inflMaxDelta,inflMinDelta,inflMaxMinDelta,inflMeanDelta,inflStdDevDelta,inflMedianDelta,infldur,stepdur,freqPeak,bw3db,bw3dbLow,bw3dbHigh,bw10db,bw10dbLow,bw10dbHigh,rmsSignal,rmsNoise,snr,nCrossings,sweepRate,meanTimeZC,medianTimeZC,varianceTimeZC,whaleTrain,clickType,ici,offlineEventID,latitude,longitude
11,12,4175,2018-07-12 18:33:28,501,2018-07-12 14:33:28,2023-08-27 17:30:52,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter12-T1-C__0__20180712_183000-Channel1-20180712_183328.csv,12,AutoEvent7,Ambig,NWAtlWhist.model,NA,(0.092-0.0-0.06-0.11467-0.0-0.11067-0.25733-0.092-0.27333-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),16265.625,15609.375,0.193,15609.375,16125,656.25,0,0,15937.5,212.235589175096,15890.625,15937.5,0.0411764705882353,1.04204204204204,0.968023255813954,16265.625,15843.75,15890.625,281.25,0,0,0,0,0.065625,0,0,0,2034.16375291375,10130.7546620047,18247.3776223776,-8096.59090909091,-2.25371120107962,2,1,0,2,1,0,2,1,0,0,0,0,42.8571428571429,57.1428571428571,0,3,0.107,0.054,1.98148148148148,0.0805,0.037476659402887,0.0805,15.5440414507772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,4176,2018-07-12 18:33:31,178,2018-07-12 14:33:31,2023-08-27 17:30:52,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter13-T1-C__0__20180712_183000-Channel1-20180712_183331.csv,13,AutoEvent7,Tt,NWAtlWhist.model,NA,(0.01067-0.0-0.032-0.30133-0.0-0.02133-0.19333-0.01067-0.43067-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),21984.375,19640.625,0.256,21750,19734.375,2343.75,0,0,20786.25,725.690000318662,20578.125,20812.5,0.112612612612613,1.11933174224344,1.1021377672209,21656.25,20671.875,20343.75,1171.875,0,0,0,0,0.24375,0,0,0,-7845.05208333334,17788.2339015152,14914.7727272727,-21971.387987013,-0.678827060725006,2,1,0,0,0,1,1,1,0,0,0,0,23.0769230769231,76.9230769230769,0,2,0.086,0.086,1,0.086,0,0.086,7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,4177,2018-07-12 18:33:38,303,2018-07-12 14:33:38,2023-08-27 17:30:52,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter14-T1-C__0__20180712_183000-Channel1-20180712_183338.csv,14,AutoEvent7,Ambig,NWAtlWhist.model,NA,(0.08-0.0-0.14667-0.24933-0.0-0.068-0.20267-0.032-0.22133-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),19640.625,19265.625,0.203,19640.625,19312.5,375,0,0,19441.40625,108.475507141802,19429.6875,19453.125,0.0192771084337349,1.01946472019465,1.01699029126214,19640.625,19453.125,19546.875,140.625,0,0,0,0,0.046875,0,0,0,-1700.80741626794,11793.5107655502,13697.2402597403,-10683.0018939394,-1.28215275029679,0,0,1,2,1,0,1,1,0,0,0,0,16.6666666666667,83.3333333333333,0,2,0.065,0.065,1,0.065,0,0.065,9.85221674876847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,4178,2018-07-12 18:33:38,486,2018-07-12 14:33:38,2023-08-27 17:30:52,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter15-T1-C__0__20180712_183000-Channel1-20180712_183338.csv,15,AutoEvent7,Sc,NWAtlWhist.model,NA,(0.108-0.0-0.144-0.08-0.0-0.50533-0.10267-0.00667-0.05333-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),17906.25,15843.75,0.191,17906.25,15890.625,2062.5,0,0,16607.5367647059,623.579497871315,16453.125,16875,0.122222222222222,1.1301775147929,1.12684365781711,17250,16453.125,16078.125,937.5,0,0,0,0,0.140625,0,0,0,-10186.0541801948,10718.7246347403,4261.36363636364,-11945.5878942486,-0.356731177576897,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,4179,2018-07-12 18:33:41,930,2018-07-12 14:33:41,2023-08-27 17:30:52,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter16-T1-C__0__20180712_183000-Channel1-20180712_183341.csv,16,AutoEvent7,Ambig,NWAtlWhist.model,NA,(0.09867-0.0-0.032-0.284-0.0-0.10933-0.156-0.06933-0.25067-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),19125,18421.875,0.181,18890.625,19125,703.125,0,0,18799.8046875,221.501942094336,18820.3125,18773.4375,0.0374531835205993,1.0381679389313,0.987745098039216,18421.875,18890.625,19031.25,281.25,0,0,0,0,0.0703125,0,0,0,488.281250000001,11908.7357954545,10330.8475378788,-17130.6818181818,-0.603061083471531,0,0,1,0,0,1,1,1,0,0,0,0,70,30,0,2,0.118,0.118,1,0.118,0,0.118,11.0497237569061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,4180,2018-07-12 19:04:40,927,2018-07-12 15:04:40,2023-08-27 17:31:04,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter17-T1-C__0__20180712_190000-Channel1-20180712_190440.csv,17,AutoEvent9,Ambig,NWAtlWhist.model,NA,(0.06667-0.0-0.12-0.15067-0.0-0.06533-0.22667-0.07733-0.29333-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),17156.25,16640.625,0.161,16968.75,16640.625,515.625,0,0,16930.6640625,131.716525781933,16921.875,16898.4375,0.0305131761442441,1.03098591549296,1.01971830985916,16875,17015.625,17062.5,152.34375,0,0,0,0,0.0421875,0,0,0,-2178.0303030303,13768.9393939394,17386.3636363636,-13289.1414141414,-1.3083135391924,0,0,1,0,0,1,1,1,0,0,0,0,16.6666666666667,83.3333333333333,0,2,0.021,0.021,1,0.021,0,0.021,12.4223602484472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,4181,2018-07-12 19:15:00,255,2018-07-12 15:15:00,2023-08-27 17:31:06,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter18-T1-C__0__20180712_191500-Channel1-20180712_191500.csv,18,AutoEvent10,Tt,NWAtlWhist.model,NA,(0.012-0.0-0.052-0.09467-0.0-0.01733-0.2-0.09867-0.52533-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),21703.125,21328.125,0.171,21609.375,21562.5,375,0,0,21568.0147058824,95.0337201910227,21609.375,21515.625,0.0174291938997821,1.01758241758242,1.00217391304348,21421.875,21703.125,21515.625,93.75,0,0,0,0,0.0609375,0,0,0,-346.235795454546,9614.70170454545,10592.5324675325,-8854.16666666667,-1.19633307868602,0,0,1,2,1,0,2,2,0,0,0,0,33.3333333333333,66.6666666666667,0,4,0.054,0.021,2.57142857142857,0.032,0.0190525588832576,0.021,23.3918128654971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,4182,2018-07-12 20:45:00,511,2018-07-12 16:45:00,2023-08-27 17:31:40,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter19-T1-C__0__20180712_204500-Channel1-20180712_204500.csv,19,AutoEvent16,Tt,NWAtlWhist.model,NA,(0.00667-0.0-0.032-0.04667-0.0-0.008-0.25067-0.07867-0.57733-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),23343.75,23062.5,0.16,23203.125,23062.5,281.25,0,0,23214.84375,97.578093724975,23203.125,23203.125,0.0121212121212121,1.01219512195122,1.00609756097561,23156.25,23109.375,23343.75,164.0625,0,0,0,0,0.075,0,0,0,-774.936868686869,10718.1186868687,14914.7727272727,-12313.9880952381,-1.21120571271629,0,0,1,0,0,1,1,2,1,0,0,1,33.3333333333333,55.5555555555556,11.1111111111111,4,0.064,0.021,3.04761904761905,0.0356666666666667,0.0245424801789333,0.022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,4183,2018-07-12 21:03:30,741,2018-07-12 17:03:30,2023-08-27 17:31:49,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter20-T1-C__0__20180712_210000-Channel1-20180712_210330.csv,20,AutoEvent17,Sc,NWAtlWhist.model,NA,(0.08533-0.0-0.016-0.13467-0.0-0.64133-0.02133-0.04933-0.052-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),10687.5,8671.875,0.224,10687.5,8671.875,2015.625,0,0,9760.41666666667,618.648795942082,9890.625,9679.6875,0.208232445520581,1.23243243243243,1.23243243243243,10218.75,9937.5,9375,808.59375,0,0,0,0,0.13125,0,0,0,-8902.31092436975,9453.78151260504,4687.5,-9751.67410714286,-0.48068669527897,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,4184,2018-07-12 21:16:17,450,2018-07-12 17:16:17,2023-08-27 17:31:54,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter21-T1-C__0__20180712_211500-Channel1-20180712_211617.csv,21,AutoEvent18,Dd,NWAtlWhist.model,NA,(0.33333-0.0-0.05467-0.03733-0.0-0.26133-0.04133-0.232-0.04-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),10921.875,9750,0.15,9750,10921.875,1171.875,0,0,10428.125,382.404574931539,10453.125,10335.9375,0.113378684807256,1.12019230769231,0.892703862660944,9937.5,10453.125,10734.375,632.8125,0,0,0,0,0.084375,0,0,0,7890.2867965368,9615.12445887446,10211.4898989899,-6036.93181818182,-1.69150326797386,2,1,0,2,1,0,1,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
