"","Id","UID","UTC","UTCMilliseconds","PCLocalTime","PCTime","ChannelBitmap","SequenceBitmap","UpdateOf","Source","encounterCount","sightingNum","classifiedAs","classifierUsed","classifier2Used","voteList","spList","freqMax","freqMin","duration","freqBeg","freqEnd","freqRange","dcMean","dcStdDev","freqMean","freqStdDev","freqMedian","freqCenter","freqRelBW","freqMaxMinRatio","freqBegEndRatio","freqQuarter1","freqQuarter2","freqQuarter3","freqSpread","dcQuarter1Mean","dcQuarter2Mean","dcQuarter3Mean","dcQuarter4Mean","freqCOFM","freqStepUp","freqStepDown","freqNumSteps","freqSlopeMean","freqAbsSlopeMean","freqPosSlopeMean","freqNegSlopeMean","freqSlopeRatio","freqBegSweep","freqBegUp","freqBegDwn","freqEndSweep","freqEndUp","freqEndDwn","numSweepsUpDwn","numSweepsDwnUp","numSweepsUpFlat","numSweepsDwnFlat","numSweepsFlatUp","numSweepsFlatDwn","freqSweepUpPercent","freqSweepDwnPercent","freqSweepFlatPercent","numInflections","inflMaxDelta","inflMinDelta","inflMaxMinDelta","inflMeanDelta","inflStdDevDelta","inflMedianDelta","infldur","stepdur","freqPeak","bw3db","bw3dbLow","bw3dbHigh","bw10db","bw10dbLow","bw10dbHigh","rmsSignal","rmsNoise","snr","nCrossings","sweepRate","meanTimeZC","medianTimeZC","varianceTimeZC","whaleTrain","clickType","ici","offlineEventID","latitude","longitude"
"66",66,66,"2023-06-20 15:51:28.807",807,"2023-06-20 11:51:28.807","2023-06-20 16:02:41.439",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter66-5801404T-Channel1-20230620_155128.csv           ",66,"AutoEvent8          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.13067-0.0-0.004-0.104-0.0-0.356-0.08267-0.02533-0.29733-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12605.2734375,8403.515625,0.669,11717.578125,12486.9140625,4201.7578125,0,0,11122.625,1163.05832520495,11244.140625,10504.39453125,0.4,1.5,0.938388625592417,11954.296875,11066.6015625,9232.03125,1479.4921875,0,0,0,0,0.80484375,1,0,1,-774.878759569707,12608.4641257263,24324.5921415441,-11790.0877799036,-2.06313918909117,2,1,0,2,1,0,2,1,0,2,0,2,27.5,67.5,5,3,0.465,0.17,2.73529411764706,0.3175,0.208596500450032,0.3175,4.48430493273543,1.49476831091181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",67,67,"2023-06-20 15:50:40.988",988,"2023-06-20 11:50:40.988","2023-06-20 16:02:42.601",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter67-5801404U-Channel1-20230620_155040.csv           ",67,"AutoEvent9          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.14-0.0-0.03867-0.17333-0.0-0.34-0.028-0.044-0.236-)                                                                          ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",10711.5234375,9350.390625,0.161,10711.5234375,9705.46875,1361.1328125,0,0,9933.310546875,393.62044074403,9794.23828125,10030.95703125,0.135693215339233,1.14556962025316,1.10365853658537,10297.265625,9823.828125,9409.5703125,517.822265625,0,0,0,0,0.13611328125,0,0,0,-6112.02077459273,11562.7814653822,51782.2265625,-11194.0414186508,-4.62587412587413,0,0,1,2,1,0,0,0,0,1,0,1,5.55555555555556,88.8888888888889,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",68,68,"2023-06-20 15:50:41.596",596,"2023-06-20 11:50:41.596","2023-06-20 16:02:42.626",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter68-5801404U-Channel1-20230620_155041.csv           ",68,"AutoEvent9          ","Dd                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.47067-0.0-0.00267-0.20267-0.0-0.208-0.02533-0.02-0.07067-)                                                                   ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",18582.421875,14262.3046875,0.321,14262.3046875,18582.421875,4320.1171875,0,0,17055.8894230769,1385.63898738705,17517.1875,16422.36328125,0.263063063063063,1.30290456431535,0.767515923566879,15800.9765625,17517.1875,18227.34375,2426.3671875,0,0,0,0,0.36099609375,0,0,0,13714.6577380952,13714.6577380952,16286.1560639881,0,0,2,1,0,2,1,0,0,0,2,0,1,1,82.2222222222222,8.88888888888889,8.88888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",69,69,"2023-06-20 15:50:42.999",999,"2023-06-20 11:50:42.999","2023-06-20 16:02:42.657",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter69-5801404U-Channel1-20230620_155042.csv           ",69,"AutoEvent9          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.07733-0.0-0.00667-0.17067-0.0-0.64133-0.012-0.056-0.036-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",10889.0625,9054.4921875,0.152,10889.0625,9054.4921875,1834.5703125,0,0,9680.10602678571,690.816677994766,9379.98046875,9971.77734375,0.183976261127596,1.20261437908497,1.20261437908497,10533.984375,9409.5703125,9172.8515625,1124.4140625,0,0,0,0,0.14203125,0,0,0,-9430.42521881164,9430.42521881164,0,-12259.5527844551,0,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",70,70,"2023-06-20 15:50:47.908",908,"2023-06-20 11:50:47.908","2023-06-20 16:02:42.825",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter70-5801404U-Channel1-20230620_155047.csv           ",70,"AutoEvent9          ","Scl                 ","NWAtlWhist.model                                                                                                                ",NA,"(0.084-0.0-0.09067-0.13867-0.0-0.14133-0.352-0.01733-0.176-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",15623.4375,14143.9453125,0.253,15505.078125,14143.9453125,1479.4921875,0,0,15041.1857358871,389.89692480695,15150,14883.69140625,0.099403578528827,1.10460251046025,1.09623430962343,15150,15209.1796875,14913.28125,355.078125,0,0,0,0,0.165703125,0,0,0,-5743.40432787698,10346.2689112103,13808.59375,-17238.9356133078,-0.80101196847329,0,0,1,0,0,1,1,0,0,1,1,0,25,55.5555555555556,19.4444444444444,2,0.017,0.017,1,0.017,0,0.017,7.90513833992095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",71,71,"2023-06-20 15:50:48.475",475,"2023-06-20 11:50:48.475","2023-06-20 16:02:42.846",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter71-5801404U-Channel1-20230620_155048.csv           ",71,"AutoEvent9          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.18933-0.0-0.06133-0.1-0.0-0.13733-0.232-0.10533-0.17467-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14913.28125,14143.9453125,0.151,14262.3046875,14854.1015625,769.3359375,0,0,14527.0559210526,232.043766033659,14499.0234375,14528.61328125,0.0529531568228106,1.05439330543933,0.960159362549801,14380.6640625,14558.203125,14676.5625,325.48828125,0,0,0,0,0.0591796875,0,0,0,3698.73046875,10182.9246238426,13881.6550925926,-11671.5494791667,-1.18935837245696,1,0,0,2,1,0,2,2,1,0,1,0,61.5384615384615,30.7692307692308,7.69230769230769,4,0.076,0.017,4.47058823529412,0.0393333333333333,0.0320052079095471,0.025,26.4900662251656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",72,72,"2023-06-20 15:50:51.794",794,"2023-06-20 11:50:51.794","2023-06-20 16:02:42.906",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter72-5801404U-Channel1-20230620_155051.csv           ",72,"AutoEvent9          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.23333-0.0-0.00533-0.08933-0.0-0.336-0.048-0.24-0.048-)                                                                       ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",15623.4375,12605.2734375,0.245,12605.2734375,15623.4375,3018.1640625,0,0,14218.90625,752.903026727597,14232.71484375,14114.35546875,0.213836477987421,1.23943661971831,0.806818181818182,13729.6875,14203.125,14735.7421875,946.875,0,0,0,0,0.20712890625,0,0,0,12260.2691399836,12260.2691399836,13674.9155792125,0,0,2,1,0,2,1,0,1,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",73,73,"2023-06-20 15:50:57.684",684,"2023-06-20 11:50:57.684","2023-06-20 16:02:43.106",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter73-5801404U-Channel1-20230620_155057.csv           ",73,"AutoEvent9          ","Dd                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.36933-0.0-0.03733-0.03067-0.0-0.20933-0.03733-0.19467-0.12133-)                                                              ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12250.1953125,10652.34375,0.421,10652.34375,12250.1953125,1597.8515625,0,0,11573.8560267857,425.552295407279,11658.3984375,11451.26953125,0.13953488372093,1.15,0.869565217391304,11776.7578125,11480.859375,11895.1171875,414.2578125,0,0,0,0,0.355078125,0,0,0,2654.15280695612,9298.16864897001,14342.7857471113,-26576.0633680556,-0.539688122671749,2,1,0,0,0,1,3,3,5,0,4,1,57.1428571428571,26.984126984127,15.8730158730159,7,0.152,0.017,8.94117647058823,0.0506666666666667,0.053444051742609,0.025,16.6270783847981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",74,74,"2023-06-20 15:50:57.810",810,"2023-06-20 11:50:57.810","2023-06-20 16:02:43.125",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter74-5801404U-Channel1-20230620_155057.csv           ",74,"AutoEvent9          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.23733-0.0-0.01733-0.16667-0.0-0.33333-0.04-0.04933-0.156-)                                                                   ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",13492.96875,12191.015625,0.228,12605.2734375,12191.015625,1301.953125,0,0,12846.2193080357,423.984536864944,12901.171875,12841.9921875,0.101382488479263,1.10679611650485,1.03398058252427,13315.4296875,12960.3515625,12486.9140625,769.3359375,0,0,0,0,0.12427734375,0,0,0,-1729.11844135802,10691.3097993827,20164.9305555556,-10479.736328125,-1.92418300653595,2,1,0,0,0,1,1,0,0,1,0,1,17.3913043478261,78.2608695652174,4.34782608695652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",75,75,"2023-06-20 15:50:58.012",12,"2023-06-20 11:50:58.012","2023-06-20 16:02:43.144",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter75-5801404U-Channel1-20230620_155058.csv           ",75,"AutoEvent9          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.136-0.0-0.06133-0.16267-0.0-0.168-0.1-0.07867-0.29333-)                                                                      ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12782.8125,11658.3984375,0.195,12782.8125,11658.3984375,1124.4140625,0,0,12234.0553977273,351.386894724882,12191.015625,12220.60546875,0.0920096852300242,1.09644670050761,1.09644670050761,12546.09375,11895.1171875,11954.296875,562.20703125,0,0,0,0,0.11244140625,0,0,0,-6040.12503438876,10002.0144776661,10399.9597886029,-15312.951352416,-0.679161028416779,0,0,1,1,0,0,3,3,0,0,0,1,26.3157894736842,68.421052631579,5.26315789473684,6,0.026,0.008,3.25,0.0152,0.00752994023880668,0.017,30.7692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
